DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
28/04/2025,57.5,58.49,57.0,57.78,50641247
25/04/2025,60.31,60.45,56.72,58.3,104362729
24/04/2025,60.0,61.49,59.72,60.11,97850644
23/04/2025,59.68,60.17,58.13,59.99,97968387
22/04/2025,60.95,61.58,59.02,59.27,89155646
21/04/2025,55.55,61.1,55.5,60.29,169658526
17/04/2025,54.33,55.72,54.01,55.07,54279879
16/04/2025,54.51,54.89,53.85,54.34,34690956
15/04/2025,54.88,55.66,53.91,54.37,58941572
11/04/2025,53.96,53.96,52.16,53.0,49591603
09/04/2025,53.07,53.76,51.01,51.21,50850121
08/04/2025,54.34,54.34,52.73,53.08,40949448
07/04/2025,46.9,53.1,46.15,52.12,81905901
04/04/2025,57.49,57.5,54.66,55.36,51863551
03/04/2025,56.21,57.82,56.2,57.49,42914792
02/04/2025,55.84,57.74,54.36,57.43,49530064
01/04/2025,55.5,56.98,55.11,55.75,40810312
28/03/2025,57.36,58.4,56.4,56.66,43376048
27/03/2025,57.11,57.94,56.44,57.01,49678644
26/03/2025,57.9,58.63,56.3,57.43,52250161
25/03/2025,58.46,59.48,57.05,57.65,66615843
24/03/2025,57.69,58.36,57.05,57.91,58367956
21/03/2025,58.38,58.65,55.94,56.5,104724888
20/03/2025,58.9,59.4,56.68,58.39,51729766
19/03/2025,55.39,58.0,55.34,57.76,79465967
18/03/2025,55.35,55.55,54.76,54.98,42339442
17/03/2025,54.74,56.5,54.25,54.5,54133951
13/03/2025,54.35,55.0,53.62,54.58,43837645
12/03/2025,54.06,54.45,52.77,53.85,48314005
11/03/2025,52.02,54.15,51.63,53.76,58522186
10/03/2025,55.11,56.79,52.76,53.24,81450055
07/03/2025,51.99,56.94,51.6,54.92,106855231
06/03/2025,52.69,52.89,51.72,52.1,56090540
05/03/2025,50.6,52.05,50.51,51.49,72632328
04/03/2025,48.85,51.49,48.52,50.11,67731679
03/03/2025,50.05,51.19,46.6,49.78,108578059
28/02/2025,51.21,51.9,49.51,49.71,93211241
27/02/2025,54.64,54.94,51.75,52.13,39073334
25/02/2025,54.29,55.08,54.27,54.58,21791959
24/02/2025,54.6,54.7,53.45,54.29,43162800
21/02/2025,54.9,56.3,54.3,55.17,56799902
20/02/2025,54.0,55.35,53.25,54.88,38873355
19/02/2025,50.3,55.28,49.84,54.16,71927816
18/02/2025,51.0,51.35,49.49,50.64,38970008
17/02/2025,51.0,51.69,49.5,51.42,46742293
14/02/2025,53.55,53.88,50.45,51.14,45983899
13/02/2025,52.81,53.95,52.29,53.35,41607228
12/02/2025,51.99,52.99,49.05,52.4,69163693
11/02/2025,52.85,53.05,50.32,51.99,49471491
10/02/2025,53.39,54.39,52.31,52.72,31170558
07/02/2025,54.97,55.08,52.92,53.61,38821987
06/02/2025,55.91,56.38,54.55,54.92,31769107
