DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
04/11/2025,123.5,123.59,119.62,120.47,371671.0
06/11/2025,121,121,111,111.93,1045409.0
07/11/2025,112.6,115.54,110.66,114.17,571026.0
10/11/2025,115.4,115.4,111.1,111.46,406641.0
11/11/2025,110.95,113.21,108.31,111.87,633092.0
12/11/2025,112.01,115.5,110.48,114.19,369805.0
13/11/2025,114,114,111,111.34,332315.0
14/11/2025,111.4,111.5,109.9,110.57,279374.0
17/11/2025,110.01,110.86,107.8,109.46,691281.0
18/11/2025,109.46,109.99,107.21,107.63,295884.0
19/11/2025,108.2,108.21,105.25,106.13,449302.0
20/11/2025,106.2,106.7,103.35,103.69,522918.0
21/11/2025,104.2,104.2,102.26,102.74,383354.0
24/11/2025,102.68,103.35,99.79,100.44,2207226.0
25/11/2025,100.54,109.13,100,104.29,2004631.0
26/11/2025,105.11,105.11,102.14,103.73,737424.0
27/11/2025,104.24,106.36,103.78,104.58,407660.0
28/11/2025,104.8,105.06,101.76,102.02,389460.0
01/12/2025,102.84,106,102.02,103.92,605202.0
02/12/2025,103.92,105.4,102.77,104.82,326283.0
03/12/2025,105.4,105.4,101.7,101.98,313415.0
04/12/2025,101.98,107.83,101.7,105.96,1944704.0
05/12/2025,106,111,105.54,109.15,1301290.0
08/12/2025,111,129.77,109.94,123.67,27142677.0
09/12/2025,122.5,128.9,115.35,123.73,21306111.0
10/12/2025,122,127.83,119.41,123.2,7479684.0
11/12/2025,124.57,131.47,120.56,128.36,7824466.0
12/12/2025,127.5,138.5,125.71,133.3,12541131.0
15/12/2025,133.31,134.9,129.06,132.69,2623697.0
16/12/2025,132,133.22,130.5,132.14,1281580.0
17/12/2025,131.6,132.3,126.11,128.77,1925886.0
18/12/2025,129.57,129.98,125,125.52,936707.0
19/12/2025,125,128.73,125,127.23,642082.0
22/12/2025,128.85,130,126.64,129.39,790266.0
23/12/2025,130.08,134.7,128.91,130.44,3622358.0
24/12/2025,131.9,134.69,127,128.21,1593956.0
26/12/2025,129.11,129.2,125.51,125.9,489157.0
29/12/2025,126.6,129.3,125.9,127.99,896350.0
30/12/2025,128,128.49,125.15,127.9,336905.0
31/12/2025,129,129.98,127.22,128.77,521488.0
01/01/2026,130,130,127.32,127.99,311844.0
01/01/2026,130,130,127.32,127.99,311844.0
02/01/2026,127.9,137.75,127.76,134.23,4248096.0
05/01/2026,135.32,135.32,128.3,129.25,1444154.0
06/01/2026,130.28,130.39,125.58,126.24,834504.0
07/01/2026,127.25,127.25,123.47,125.7,836083.0
08/01/2026,126.3,126.89,123.07,125.19,708851.0
09/01/2026,125.19,125.19,120.1,123.06,913099.0
12/01/2026,123,123,118.21,120.33,1037202.0
13/01/2026,121.53,123.64,120.75,122.77,443309.0
14/01/2026,122.63,122.63,120,120.53,480336.0
16/01/2026,120.3,120.83,119,119.47,385510.0
19/01/2026,119.35,124.5,118.53,122.36,861948.0
20/01/2026,124.49,124.49,114.4,118,880943.0
21/01/2026,116.25,120.08,116.25,119.11,601736.0
22/01/2026,119,122.4,118.85,121.7,300259.0
23/01/2026,122.85,122.85,118.27,119.92,277330.0
27/01/2026,122,122,117,120.47,399335.0
