Date,Close,High,Low,Open,Volume
,ROLEXRINGS.NS,ROLEXRINGS.NS,ROLEXRINGS.NS,ROLEXRINGS.NS,ROLEXRINGS.NS
19/08/2025,144.1399994,145.3800049,137.5,138.6999969,151150
20/08/2025,142.7700043,145.5599976,141.5500031,144.5,170520
21/08/2025,141.7799988,144.8899994,140.3800049,144,77010
22/08/2025,138.5700073,142.5,138.1999969,141.5099945,98360
25/08/2025,140.2599945,146.6999969,139.1600037,139.8999939,435330
26/08/2025,137.6199951,141.3800049,137,140.9700012,157590
28/08/2025,139.4600067,141.0399933,136,136.1100006,186700
29/08/2025,136.1799927,141.0800018,136,139,301930
01/09/2025,138.6000061,146,138.1000061,146,1638080
02/09/2025,139,142.7100067,138.5700073,140,840470
03/09/2025,139.9299927,140.8999939,138.1000061,138.1000061,238510
04/09/2025,139.0099945,144.9299927,138.5,141,1305980
05/09/2025,138.6900024,142,138.3099976,139.1999969,353570
08/09/2025,139.0299988,142.8999939,138.0899963,142.8999939,379390
09/09/2025,140.5500031,141.1000061,138.0099945,140.3500061,268670
10/09/2025,138.7200012,141.1999969,138.2899933,140.5500031,392190
11/09/2025,138.6799927,139.6600037,137.5399933,138.5,261990
12/09/2025,139.6699982,140.4900055,138.2400055,138.2400055,288660
15/09/2025,140.0700073,144.2200012,139,139,877020
16/09/2025,139.9700012,142.3999939,139.6300049,141.1900024,734930
17/09/2025,139.6399994,140.5,138.6999969,140.1000061,334850
18/09/2025,138.7899933,141.0099945,138.1499939,141,396290
19/09/2025,137.9299927,139.8999939,137.6499939,139.8500061,412580
22/09/2025,138.5500031,139.6499939,137.6999969,138.6000061,457830
23/09/2025,137.7299957,138.9700012,137.3000031,138.9700012,277560
24/09/2025,137.6900024,138.6000061,136.9799957,137.7200012,205440
25/09/2025,134.8500061,137.6900024,134.1600037,137.0500031,213990
26/09/2025,132.7400055,135.5299988,132.3200073,135.1999969,212810
29/09/2025,131.3300018,133.75,131,133.4100037,260950
30/09/2025,129.3999939,132.6000061,128.1300049,131.8000031,398050
01/10/2025,129.8800049,131.1000061,129.0599976,131,912430
03/10/2025,129.7799988,131,129.3999939,131,1519160
06/10/2025,138.5399933,142.3099976,130.8399963,131,2759110
07/10/2025,134.3000031,140.1999969,133.6900024,139.5,749400
08/10/2025,131.1199951,135.7299957,130.5,135.3699951,539310
09/10/2025,131.6699982,133.7100067,131.0700073,132.3999939,516020
10/10/2025,133.8099976,134.4799957,132.0099945,132.3300018,376580
13/10/2025,131.75,134.5,130.4400024,134.5,535770
14/10/2025,130.4100037,134.6000061,129.9900055,134.6000061,708900
15/10/2025,129.6600037,131.9799957,129,131.3899994,1955930
16/10/2025,132.6999969,134.9900055,131.1600037,131.6600037,1743100
17/10/2025,126.0999985,133.3999939,125.5,133.1000061,1247970
20/10/2025,122.9000015,125.6999969,121.3000031,125.4000015,725428
21/10/2025,124.0999985,124.9000015,122.5,123.4000015,225599
23/10/2025,125.0999985,129,124.1999969,126.9000015,593719
24/10/2025,126.8000031,127.9000015,124.1999969,125.0999985,288371
27/10/2025,127.3000031,129.1000061,126.5999985,128.5,269687
28/10/2025,125,128.6000061,124.1999969,128.3000031,397192
29/10/2025,122.8000031,125.5,121.9000015,125,807765
30/10/2025,122.5,124.0999985,122.0999985,123,356439
31/10/2025,122,124.4000015,120,122.5999985,331251
03/11/2025,122.8300018,123.6999969,122.0100021,123.1999969,197177
04/11/2025,120.4700012,123.5899963,119.6200027,123.5,371671
06/11/2025,111.9300003,121,111,121,1045409
07/11/2025,114.1699982,115.5400009,110.6600037,112.5999985,571026
10/11/2025,111.4599991,115.4000015,111.0999985,115.4000015,406641
11/11/2025,111.8700027,113.2099991,108.3099976,110.9499969,633092
12/11/2025,114.1900024,115.5,110.4800034,112.0100021,369805
13/11/2025,111.3399963,114,111,114,332315
14/11/2025,110.5699997,111.5,109.9000015,111.4000015,279374
17/11/2025,109.4599991,110.8600006,107.8000031,110.0100021,691281
18/11/2025,107.6299973,109.9899979,107.2099991,109.4599991,295884
19/11/2025,106.1299973,108.2099991,105.25,108.1999969,449302
20/11/2025,103.6900024,106.6999969,103.3499985,106.1999969,522918
21/11/2025,102.7399979,104.1999969,102.2600021,104.1999969,383354
24/11/2025,100.4400024,103.3499985,99.79000092,102.6800003,2207226
25/11/2025,104.2900009,109.1299973,100,100.5400009,2004631
26/11/2025,103.7300034,105.1100006,102.1399994,105.1100006,737424
27/11/2025,104.5800018,106.3600006,103.7799988,104.2399979,407660
28/11/2025,102.0199966,105.0599976,101.7600021,104.8000031,389460
01/12/2025,103.9199982,106,102.0199966,102.8399963,605202
02/12/2025,104.8199997,105.4000015,102.7699966,103.9199982,326283
03/12/2025,101.9800034,105.4000015,101.6999969,105.4000015,313415
04/12/2025,105.9599991,107.8300018,101.6999969,101.9800034,1944704
05/12/2025,109.1500015,111,105.5400009,106,1301290
08/12/2025,123.6699982,129.7700043,109.9400024,111,27142677
09/12/2025,123.7300034,128.8999939,115.3499985,122.5,21306111
10/12/2025,123.1999969,127.8300018,119.4100037,122,7479684
11/12/2025,128.3600006,131.4700012,120.5599976,124.5699997,7824466
12/12/2025,133.3000031,138.5,125.7099991,127.5,12541131
15/12/2025,132.6900024,134.8999939,129.0599976,133.3099976,2623697
16/12/2025,132.1399994,133.2200012,130.5,132,1281580
17/12/2025,128.7700043,132.3000031,126.1100006,131.6000061,1925886
18/12/2025,125.5199966,129.9799957,125,129.5700073,936707
19/12/2025,127.2300034,128.7299957,125,125,642082
22/12/2025,129.3899994,130,126.6399994,128.8500061,790266
23/12/2025,130.4400024,134.6999969,128.9100037,130.0800018,3622358
24/12/2025,128.2100067,134.6900024,127,131.8999939,1593956
26/12/2025,125.9000015,129.1999969,125.5100021,129.1100006,489157
